data1,data2
2.0587,3.1307
-0.5643,6.7877
-1.9179,8.4814
2.9405,1.2206
2.1901,0.5943
1.0968,4.6857
-0.4762,8.3934
-0.1382,6.1502
1.778,0.1742
2.3901,6.1049
1.4018,-0.2557
-2.6755,6.1467
-2.171,4.1508
-0.7014,3.1809
2.3273,1.4761
-2.8626,2.3573
0.1581,6.1183
-2.2922,1.8555
-1.6514,3.9943
-1.0397,8.2089
-2.9998,3.3143
-0.469,9.1274
1.9055,3.0416
-1.1927,3.2782
-2.4053,7.5457
2.7106,2.1344
-2.7991,7.7717
-0.0729,4.3533
-0.6764,4.2241
2.7653,3.0234
-1.2568,4.5734
3.621,1.0537
0.64,2.9976
0.3752,1.2354
-0.0464,8.0364
2.6664,-0.5944
0.2158,1.077
1.2826,-0.4954
0.5515,1.4775
-0.5613,7.8588
1.7599,0.9902
-2.154,3.0849
2.1023,1.3668
-1.6319,1.3402
1.4878,0.6716
0.491,3.1822
-1.9757,8.3635
0.1192,3.5682
1.6896,0.9873
2.6049,1.2298
-0.5724,4.7434
-1.3712,3.0094
-0.7464,2.9229
-1.3474,6.8969
-0.7457,8.237
-2.1403,8.8016
-2.5053,2.5854
-0.0409,5.3055
0.3044,0.4436
2.3956,4.1089
-1.1746,3.0528
1.4055,2.4742
-1.0924,2.0015
-0.6112,7.1633
-0.6316,2.6637
1.5702,2.7818
1.3525,3.2654
-1.6505,3.0071
-2.9035,6.5974
1.7095,5.0861
-0.8184,7.9285
-2.0112,7.3943
-3.4425,2.4054
-1.3029,7.4638
-1.8923,2.4962
0.1666,8.3307
1.6689,4.4263
0.5833,3.5937
2.7505,5.1645
-0.0829,4.5515
-1.1774,6.8122
-0.6669,6.561
-1.5951,6.1337
-2.77,6.9926
-1.7355,1.888
-1.9975,8.8754
0.6255,4.0764
2.5503,0.3507
0.8141,2.4729
-0.1879,5.1059
-0.0063,4.9513
0.7024,0.429
1.0345,2.8477
2.092,-0.6762
